"","method","calib.method","k","m","b0","bc","bb","zc.star","zb.star","zc.ref","zb.ref","V","Vzeta","muN","minN","sd.w","tail","true.effect.dist","TheoryP","q","TheoryP.ref","TheoryDiff","scen.name","clustered"
"107","bt.smart","MR",150,150,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,107,FALSE
"108","bt.smart","DL",150,150,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,108,FALSE
"109","bt.smart","MR bt both correct",100,100,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,109,FALSE
"110","bt.smart","MR",100,100,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,110,FALSE
"111","bt.smart","DL",100,100,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,111,FALSE
"112","bt.smart","MR bt both correct",50,50,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,112,FALSE
"113","bt.smart","MR",50,50,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,113,FALSE
"114","bt.smart","DL",50,50,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,114,FALSE
"115","bt.smart","MR bt both correct",20,20,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,115,FALSE
"116","bt.smart","MR",20,20,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,116,FALSE
"117","bt.smart","DL",20,20,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,117,FALSE
"118","bt.smart","MR bt both correct",10,10,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,118,FALSE
"119","bt.smart","MR",10,10,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,119,FALSE
"120","bt.smart","DL",10,10,0,0.5,1,0.5,1,2,0,0.01,0,100,50,1,"above","normal",0.05,1.41448536269515,1.70015420316583e-05,0.0499829984579683,120,FALSE
"121","bt.smart","MR bt both correct",150,75,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,121,TRUE
"122","bt.smart","MR",150,75,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,122,TRUE
"123","bt.smart","DL",150,75,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,123,TRUE
"124","bt.smart","MR bt both correct",100,50,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,124,TRUE
"125","bt.smart","MR",100,50,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,125,TRUE
"126","bt.smart","DL",100,50,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,126,TRUE
"127","bt.smart","MR bt both correct",50,25,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,127,TRUE
"128","bt.smart","MR",50,25,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,128,TRUE
"129","bt.smart","DL",50,25,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,129,TRUE
"130","bt.smart","MR bt both correct",20,10,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,130,TRUE
"131","bt.smart","MR",20,10,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,131,TRUE
"132","bt.smart","DL",20,10,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,132,TRUE
"133","bt.smart","MR bt both correct",10,5,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,133,TRUE
"134","bt.smart","MR",10,5,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,134,TRUE
"135","bt.smart","DL",10,5,0,0.5,1,0.5,1,2,0,0.0025,0.001875,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,135,TRUE
"136","bt.smart","MR bt both correct",150,150,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,136,FALSE
"137","bt.smart","MR",150,150,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,137,FALSE
"138","bt.smart","DL",150,150,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,138,FALSE
"139","bt.smart","MR bt both correct",100,100,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,139,FALSE
"140","bt.smart","MR",100,100,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,140,FALSE
"141","bt.smart","DL",100,100,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,141,FALSE
"142","bt.smart","MR bt both correct",50,50,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,142,FALSE
"143","bt.smart","MR",50,50,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,143,FALSE
"144","bt.smart","DL",50,50,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,144,FALSE
"145","bt.smart","MR bt both correct",20,20,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,145,FALSE
"146","bt.smart","MR",20,20,0,0.5,1,0.5,1,2,0,0.0025,0,100,50,1,"above","normal",0.05,1.33224268134757,1.51759715905087e-11,0.049999999984824,146,FALSE
